hod of it,"Dr. M.A. Jawale mam, currently serving as the Head of the Department (HOD) of Information Technology, has now also been entrusted with the additional responsibility of overseeing the Computer Department.",2024-11-27 08:43:48
hi,Hello,2024-11-27 08:56:43
who is hod,"Dr. M.A. Jawale mam, currently serving as the Head of the Department (HOD) of Information Technology, has now also been entrusted with the additional responsibility of overseeing the Computer Department.",2024-11-27 08:56:55
director of sanjivani,The director of the institution is Dr. A G Thakur.,2024-11-27 08:57:15
hi,"I'm fine, thank you",2024-11-27 09:00:14
hod of it,"Dr. M.A. Jawale mam, currently serving as the Head of the Department (HOD) of Information Technology, has now also been entrusted with the additional responsibility of overseeing the Computer Department.",2024-11-27 09:00:23
hi,Hey,2024-11-27 09:00:32
hi,Nothing much,2024-11-27 09:05:14
hi,"I'm fine, thank you",2024-11-27 09:06:32
hi,Nothing much,2024-11-27 09:09:39
hi,Hello,2024-11-27 09:16:15
hi,Hi there,2024-11-27 09:16:34
hod of it,"Dr. M.A. Jawale mam, currently serving as the Head of the Department (HOD) of Information Technology, has now also been entrusted with the additional responsibility of overseeing the Computer Department.",2024-11-27 09:26:15
director of sanjivnai,Dr. A G Thakur leads the institution as the director.,2024-11-27 09:26:38
hi,Hello,2024-11-27 10:18:49
cut off of it,"The cutoff for B.Tech IT Engineering at Sanjivani College of Engineering is as follows:
MHT-CET: 90.83 for general category, with a range of 82.4 to 78.5 for other categories.",2024-11-27 10:19:15
hi,Hello,2024-11-27 10:20:03
hello,Hey,2024-11-27 10:20:33
Hello,Hey,2024-11-27 10:23:30
Hello,Hi there,2024-11-27 10:26:53
Hello,Hello,2024-11-27 10:27:33
How are you?,My purpose is to assist you,2024-11-27 10:27:45
Hello,"I'm fine, thank you",2024-11-27 10:33:37
hello,Hi there,2024-11-27 10:34:07
Hello,Hi there,2024-11-27 10:36:34
Hello,Hey,2024-11-27 10:36:52
Hello,Hi there,2024-11-27 10:37:15
Hello,Nothing much,2024-11-27 10:37:59
Hello,Nothing much,2024-11-27 10:38:31
Hii,Hello,2024-11-27 10:38:37
Hello,"I'm fine, thank you",2024-11-27 10:39:19
Hello,Hello,2024-11-27 10:39:49
Hello,"I'm fine, thank you",2024-11-27 10:40:09
Hello,"I'm fine, thank you",2024-11-27 10:40:33
Hello,Hello,2024-11-27 10:42:27
How are you?,I am a chatbot,2024-11-27 10:42:38
Hello,Nothing much,2024-11-27 10:43:16
Hello,"I'm fine, thank you",2024-11-27 10:44:29
Hello,Hello,2024-11-27 10:44:56
Hello,Hi there,2024-11-27 10:48:38
Hello,Nothing much,2024-11-27 10:48:56
Hello,Hey,2024-11-27 10:50:50
How are you?,I can answer questions and provide assistance,2024-11-27 10:50:59
What is the cutoff of IT dept?,"The cutoff for B.Tech IT Engineering at Sanjivani College of Engineering is as follows:
MHT-CET: 90.83 for general category, with a range of 82.4 to 78.5 for other categories.",2024-11-27 10:51:59
Hello,Hello,2024-11-27 10:53:00
Hello,Nothing much,2024-11-27 10:53:49
Hello,Hi there,2024-11-27 10:54:15
Hello,Nothing much,2024-11-27 10:57:50
Hello,"I'm fine, thank you",2024-11-27 10:58:05
Hello,"I'm fine, thank you",2024-11-27 10:59:17
Hello,"I'm fine, thank you",2024-11-27 10:59:32
Hello,Nothing much,2024-11-27 11:03:25
Hello,Hey,2024-11-27 11:05:11
HEllo,Hello,2024-11-27 11:05:42
Hello,Hi there,2024-11-27 11:06:02
hi,Hello,2024-11-27 11:06:32
Hello,Hello,2024-11-27 11:09:09
hi,Hi there,2024-11-27 12:42:51
hi,Hi there,2024-11-27 13:13:35
hello,Nothing much,2024-11-27 13:39:45
who is HOD of IT Dept,"Dr. M.A. Jawale mam, currently serving as the Head of the Department (HOD) of Information Technology, has now also been entrusted with the additional responsibility of overseeing the Computer Department.",2024-11-27 13:39:58
hi,Hi there,2024-11-27 13:47:58
hi,Hello,2024-11-27 13:48:50
hi,Hey,2024-11-27 13:52:02
hi,Hello,2024-11-27 13:52:35
hi,Hello,2024-11-27 14:03:11
hi,Nothing much,2024-11-27 14:15:32
nice,"I'm fine, thank you",2024-11-27 14:15:36
okay,"I'm fine, thank you",2024-11-27 14:15:40
hello,Nothing much,2024-11-27 14:15:42
ok,Hello,2024-11-27 14:15:43
fine,"I'm fine, thank you",2024-11-27 14:15:44
nice,Hello,2024-11-27 14:15:45
hi,Nothing much,2024-11-27 14:17:36
hi,Nothing much,2024-11-27 14:18:05
anciasc,Nothing much,2024-11-27 14:18:15
s,Hey,2024-11-27 14:18:15
ds,Hello,2024-11-27 14:18:16
d,Nothing much,2024-11-27 14:18:16
s,Hello,2024-11-27 14:18:16
d,Hey,2024-11-27 14:18:16
sad,Nothing much,2024-11-27 14:18:16
a,Nothing much,2024-11-27 14:18:16
d,Hi there,2024-11-27 14:18:16
sa,"I'm fine, thank you",2024-11-27 14:18:17
dasd,Hello,2024-11-27 14:18:17
s,Hello,2024-11-27 14:18:17
d,Hi there,2024-11-27 14:18:17
hi,Nothing much,2024-11-27 14:19:20
ni,Nothing much,2024-11-27 14:19:22
jjsjasd,Hey,2024-11-27 14:19:23
asd,Nothing much,2024-11-27 14:19:23
sa,Nothing much,2024-11-27 14:19:24
das,Hi there,2024-11-27 14:19:24
d,Hi there,2024-11-27 14:19:24
sa,"I'm fine, thank you",2024-11-27 14:19:24
d,"I'm fine, thank you",2024-11-27 14:19:24
as,Dr. A G Thakur leads the institution as the director.,2024-11-27 14:19:24
d,Nothing much,2024-11-27 14:19:24
sa,Hi there,2024-11-27 14:19:25
d,Hi there,2024-11-27 14:19:25
as,Dr. A G Thakur is the director.,2024-11-27 14:19:25
dsa,Nothing much,2024-11-27 14:19:25
dsa,Hi there,2024-11-27 14:19:25
d,"I'm fine, thank you",2024-11-27 14:19:25
sad,"I'm fine, thank you",2024-11-27 14:19:26
sa,"I'm fine, thank you",2024-11-27 14:19:26
d,Hi there,2024-11-27 14:19:26
hi,Hello,2024-11-27 14:19:45
nice,Hey,2024-11-27 14:19:54
hi,Hey,2024-11-27 14:20:42
gsdf,"I'm fine, thank you",2024-11-27 14:20:45
sd,Hi there,2024-11-27 14:20:45
fdsf,Hey,2024-11-27 14:20:45
sd,Hello,2024-11-27 14:20:46
f,Hey,2024-11-27 14:20:46
dsf,Hello,2024-11-27 14:20:46
sdf,Hello,2024-11-27 14:20:46
sd,Hello,2024-11-27 14:20:46
f,Hey,2024-11-27 14:20:46
ds,Hi there,2024-11-27 14:20:46
f,Nothing much,2024-11-27 14:20:47
dsf,Hi there,2024-11-27 14:20:47
dsfds,Hey,2024-11-27 14:20:47
f,"I'm fine, thank you",2024-11-27 14:20:47
sd,"I'm fine, thank you",2024-11-27 14:20:47
f,"I'm fine, thank you",2024-11-27 14:20:47
dsf,"I'm fine, thank you",2024-11-27 14:20:48
ds,Hello,2024-11-27 14:20:48
fsd,Hey,2024-11-27 14:20:48
asds,Hi there,2024-11-27 14:20:50
d,"I'm fine, thank you",2024-11-27 14:20:50
sa,Hi there,2024-11-27 14:20:50
das,Hi there,2024-11-27 14:20:50
d,"I'm fine, thank you",2024-11-27 14:20:51
sad,Hey,2024-11-27 14:20:51
asd,Nothing much,2024-11-27 14:20:51
sa,Hey,2024-11-27 14:20:51
d,Nothing much,2024-11-27 14:20:51
asd,Nothing much,2024-11-27 14:20:52
as,Dr. A G Thakur leads the institution as the director.,2024-11-27 14:20:52
d,Hi there,2024-11-27 14:20:52
asd,Hey,2024-11-27 14:20:52
sa,Nothing much,2024-11-27 14:20:52
das,Hey,2024-11-27 14:20:53
d,Hello,2024-11-27 14:20:53
asd,Nothing much,2024-11-27 14:20:53
as,The director of the institution is Dr. A G Thakur.,2024-11-27 14:20:53
d,Hello,2024-11-27 14:20:53
sd,Nothing much,2024-11-27 14:20:53
d,Hello,2024-11-27 14:20:54
gs,Hey,2024-11-27 14:20:54
f,Hey,2024-11-27 14:20:54
df,Hey,2024-11-27 14:20:54
v,Nothing much,2024-11-27 14:20:55
dd asd,Hello,2024-11-27 14:20:55
a,Nothing much,2024-11-27 14:20:55
d,Hey,2024-11-27 14:20:55
as,Dr. A G Thakur serves as the director.,2024-11-27 14:20:56
d,Nothing much,2024-11-27 14:20:56
a,"I'm fine, thank you",2024-11-27 14:20:56
hu,Hello,2024-11-27 14:21:59
hi,"I'm fine, thank you",2024-11-27 14:22:36
jnnaskhchkawbf,Nothing much,2024-11-27 14:22:39
d,Nothing much,2024-11-27 14:22:39
c,Hi there,2024-11-27 14:22:39
d,Hey,2024-11-27 14:22:39
fs,Hi there,2024-11-27 14:22:39
df,Nothing much,2024-11-27 14:22:39
s,Nothing much,2024-11-27 14:22:39
f,Hi there,2024-11-27 14:22:40
ds,Hey,2024-11-27 14:22:40
s,Nothing much,2024-11-27 14:22:40
f,Hi there,2024-11-27 14:22:40
g,"I'm fine, thank you",2024-11-27 14:22:40
hi,Nothing much,2024-11-27 14:23:45
hi,Hello,2024-11-27 14:25:56
hi,Nothing much,2024-11-27 14:27:01
hi,Hello,2024-11-27 14:27:24
hi,Hello,2024-11-27 14:27:58
hi,Hi there,2024-11-27 14:29:44
hi,Hello,2024-11-27 14:34:13
hi,Hi there,2024-11-27 14:35:47
hi,Hey,2024-11-27 14:39:20
hu,Hey,2024-11-27 14:39:27
hi,Hi there,2024-11-27 14:40:24
hi,Hello,2024-11-27 14:41:10
hi,"I'm fine, thank you",2024-11-27 14:42:04
hi,Hey,2024-11-27 14:43:01
GI,Nothing much,2024-11-27 14:43:18
HI,Nothing much,2024-11-27 14:43:36
HI,Hi there,2024-11-27 14:43:40
hi,Hello,2024-11-27 14:44:00
hi,Hello,2024-11-27 14:54:17
hi,Hi there,2024-11-27 14:54:20
hi,Nothing much,2024-11-27 14:59:03
hi,Nothing much,2024-11-27 15:17:18
hi,Hey,2024-11-27 15:26:07
nice,Nothing much,2024-11-27 15:26:08
hi,Hi there,2024-11-27 15:29:28
hi,"I'm fine, thank you",2024-11-27 15:30:20
i,Hey,2024-11-27 15:30:32
R,"I'm fine, thank you",2024-11-27 15:30:47
hi,Hey,2024-11-27 15:31:01
